method,input_size,binary_resampling_accuracy,six_class_accuracy
cnn,32,0.8885,0.7028333333333333
cnn,64,0.94,0.7741666666666667
cnn,96,0.9621666666666666,0.7808333333333334
cnn,128,0.9798333333333333,0.8278333333333333
mask,32,0.8348333333333333,0.6051666666666666
mask,64,0.8543333333333333,0.6278333333333334
mask,96,0.8665,0.6421666666666667
mask,128,0.8671666666666666,0.6478333333333334
