epoch,lr,train_loss,train_acc,val_loss,val_acc
1,9.972609476841367e-05,0.9249134469032287,0.5657142857142857,0.7859536951382955,0.6241666666666666
2,9.890738003669029e-05,0.6286658143997192,0.703,0.6132071626981099,0.6976666666666667
3,9.755282581475769e-05,0.542078914301736,0.7339285714285714,0.594504021803538,0.7063333333333334
4,9.567727288213003e-05,0.5025501298223223,0.7536071428571428,0.6009244443575541,0.7125
5,9.330127018922194e-05,0.47178323813847134,0.7651071428571429,0.5205540364583333,0.7385
6,9.045084971874738e-05,0.4472284566674914,0.7819642857142857,0.5677123978932699,0.7153333333333334
7,8.715724127386972e-05,0.40723395797184536,0.8071428571428572,0.5413279530207316,0.7345
8,8.345653031794292e-05,0.3762027578353882,0.82875,0.5514952766100566,0.7163333333333334
9,7.938926261462366e-05,0.3357148391859872,0.8548928571428571,0.5636365486780802,0.729
10,7.500000000000001e-05,0.28496925449371335,0.8909285714285714,0.5792737612724305,0.7271666666666666
11,7.033683215379003e-05,0.2376002300126212,0.9142142857142858,0.589186936378479,0.7296666666666667
12,6.545084971874738e-05,0.17866512198107584,0.943,0.8338588627576828,0.7083333333333334
13,6.039558454088797e-05,0.1288023030928203,0.9667142857142857,0.7804580443700154,0.7036666666666667
14,5.522642316338269e-05,0.09635660474640982,0.979,0.7950142210324606,0.7206666666666667
15,5.000000000000002e-05,0.06595583371179445,0.9883928571428572,0.7919017063776652,0.7221666666666666
16,4.4773576836617344e-05,0.049901174153600424,0.9915357142857143,0.7604771555264791,0.7273333333333334
17,3.9604415459112035e-05,0.04030170564779213,0.993,0.7839866379102071,0.731
18,3.4549150281252636e-05,0.033180380237954006,0.9939642857142857,0.8297738478978475,0.7325
19,2.966316784621e-05,0.029674917553152356,0.9936428571428572,0.8197947521209716,0.729
20,2.5000000000000015e-05,0.025404507424150194,0.9942142857142857,0.8187051009337107,0.7305
21,2.0610737385376352e-05,0.024369344183376856,0.9940714285714286,0.8236145745913188,0.731
22,1.654346968205711e-05,0.02291512478675161,0.9939642857142857,0.8293482506275177,0.7336666666666667
23,1.2842758726130304e-05,0.021511909084660667,0.994,0.8360276306470236,0.7341666666666666
24,9.549150281252636e-06,0.02079411208842482,0.99425,0.8446234955787658,0.732
25,6.698729810778068e-06,0.02014786054619721,0.9939285714285714,0.846034389813741,0.7346666666666667
26,4.322727117869953e-06,0.01937894683437688,0.9945,0.847162876923879,0.7335
27,2.447174185242324e-06,0.019144653367144722,0.9945,0.8534141446749369,0.7348333333333333
28,1.092619963309716e-06,0.019323879575090748,0.9940357142857142,0.8543250813484192,0.737
29,2.7390523158633003e-07,0.018468393928238323,0.9943928571428572,0.8506558516820272,0.7333333333333333
30,0.0,0.018754351232733044,0.9946428571428572,0.8543045172691345,0.7365
