epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.0002997040092642407,1.233204073270162,0.5046666666666667,2.4853752053578693,0.16666666666666666
2,0.0002988172051971717,0.817284653822581,0.6698333333333333,1.1260516695578893,0.5078333333333334
3,0.0002973430876093033,0.6628729111353556,0.7306666666666667,0.9829827015002569,0.5688333333333333
4,0.00029528747416929463,0.5784904513359069,0.7553333333333333,0.6410364807049433,0.712
5,0.00029265847744427303,0.5145920694669087,0.784,0.7189347679018975,0.6676666666666666
6,0.0002894664728832377,0.46466399510701495,0.808,0.9215597339073817,0.6308333333333334
7,0.000285724057869903,0.4094157863457998,0.835,0.5663435614506404,0.7385
8,0.00028144600200657956,0.37274604217211404,0.8493333333333334,0.5172695839007696,0.7675
9,0.0002766491888253023,0.3545471420288086,0.8558333333333333,0.6145996402899424,0.7125
10,0.00027135254915624217,0.3104235534667969,0.8878333333333334,0.5103178405761719,0.7845
11,0.0002655769864163684,0.25447276151180265,0.9193333333333333,0.5149676793018977,0.7755
12,0.0002593452941132117,0.2227995847860972,0.9335,0.7579476591944695,0.7635
13,0.0002526820658893033,0.1714713542064031,0.9555,0.657432813266913,0.7345
14,0.0002456135984623034,0.12089168081680933,0.9773333333333334,0.6372994684974352,0.7833333333333333
15,0.00023816778784387096,0.09871781734625498,0.9796666666666667,0.8014015144308408,0.7145
16,0.00023037401924684944,0.08220114817221959,0.9833333333333333,0.6002971553206444,0.7851666666666667
17,0.00022226305111525726,0.06824859649936359,0.983,0.5879684868653615,0.7661666666666667
18,0.00021386689373476087,0.05528213869531949,0.9858333333333333,0.6035706502000491,0.7786666666666666
19,0.00020521868290270169,0.049424384514490764,0.985,0.5964635370572408,0.77
20,0.00019635254915624208,0.04758008897304535,0.9858333333333333,0.6969735002517701,0.7828333333333334
21,0.00018730348307472816,0.04506115340689818,0.9845,0.7002739482323329,0.7761666666666667
22,0.00017810719718785867,0.042694021234909695,0.9848333333333333,0.5843661756714185,0.7806666666666666
23,0.00016879998503464564,0.040203513391315934,0.9845,0.6333131480614345,0.7663333333333333
24,0.000159418577929397,0.03962496662139892,0.9853333333333333,0.6054649251103401,0.7773333333333333
25,0.00015,0.03814570282648007,0.9858333333333333,0.6293367155790329,0.7688333333333334
26,0.000140581422070603,0.03772875263293584,0.9863333333333333,0.6197900490363439,0.7795
27,0.00013120001496535436,0.037756288647651674,0.9858333333333333,0.5931334907809893,0.7815
28,0.0001218928028121413,0.03706965736548106,0.9851666666666666,0.5997725519339243,0.7765
29,0.00011269651692527177,0.03625374771654606,0.9861666666666666,0.6070051913062732,0.7826666666666666
30,0.00010364745084375793,0.03622675336400668,0.9858333333333333,0.634985558172067,0.7766666666666666
31,9.478131709729836e-05,0.03690903456012408,0.9853333333333333,0.6157455161015193,0.7881666666666667
32,8.61331062652391e-05,0.035609542240699135,0.9865,0.6082023469408353,0.7793333333333333
33,7.773694888474269e-05,0.03589211324354013,0.9856666666666667,0.6288836632768313,0.783
34,6.962598075315047e-05,0.035405330081780755,0.9858333333333333,0.6000091015696526,0.785
35,6.183221215612905e-05,0.03515926107764244,0.9851666666666666,0.6051505749424299,0.7811666666666667
36,5.438640153769654e-05,0.034436700095733005,0.986,0.6359504260818164,0.776
37,4.73179341106967e-05,0.034929552416006725,0.9856666666666667,0.6104735960960388,0.7803333333333333
38,4.0654705886788306e-05,0.03509896265467008,0.9856666666666667,0.645421726167202,0.7703333333333333
39,3.4423013583631635e-05,0.034736038034160935,0.9865,0.6167288789550464,0.7783333333333333
40,2.86474508437579e-05,0.034645628730456034,0.9861666666666666,0.6091793186863264,0.7825
41,2.3350811174697774e-05,0.03396828223268191,0.9855,0.6047178753415744,0.784
42,1.8553997993420465e-05,0.03403543026993672,0.9861666666666666,0.6073008703788122,0.7836666666666666
43,1.42759421300971e-05,0.03431317721803983,0.9865,0.6101301097472509,0.7825
44,1.05335271167623e-05,0.03475361752013365,0.9843333333333333,0.6072720203200976,0.7823333333333333
45,7.341522555726972e-06,0.03363502842436234,0.9855,0.6068756098747253,0.784
46,4.712525830705356e-06,0.03428500872850418,0.9856666666666667,0.6053446395397186,0.7843333333333333
47,2.656912390696692e-06,0.034194695482651395,0.9865,0.6044412231842676,0.7835
48,1.1827948028283352e-06,0.03381913080811501,0.9863333333333333,0.6067966160178184,0.7851666666666667
49,2.9599073575926616e-07,0.03456649831558267,0.9843333333333333,0.6048161904414495,0.7848333333333334
50,0.0,0.03386394369602203,0.9855,0.6063576725522677,0.7831666666666667
