epoch,lr,train_loss,train_acc,val_loss,val_acc
1,9.972609476841367e-05,1.3366902018955775,0.44692857142857145,1.411972745153639,0.42033333333333334
2,9.890738003669029e-05,0.998586775643485,0.5903095238095238,0.9978910661273532,0.5713333333333334
3,9.755282581475769e-05,0.8922581999642508,0.6255952380952381,0.885347351498074,0.6274444444444445
4,9.567727288213003e-05,0.8424288630031403,0.6423571428571428,0.9294189989301893,0.6048888888888889
5,9.330127018922194e-05,0.7971680826459612,0.6615,0.855218715985616,0.6403333333333333
6,9.045084971874738e-05,0.7613141410918463,0.6769761904761905,0.8703004344304403,0.6293333333333333
7,8.715724127386972e-05,0.7269529132615953,0.6901428571428572,0.8569276066886055,0.6374444444444445
8,8.345653031794292e-05,0.6815498664492653,0.7098809523809524,0.8467621490690443,0.638
9,7.938926261462366e-05,0.6454128801936195,0.7279285714285715,0.8955407965977986,0.62
10,7.500000000000001e-05,0.5983752806981405,0.7552380952380953,0.87458925014072,0.6342222222222222
11,7.033683215379003e-05,0.5389804569426037,0.7836666666666666,0.8833108416663276,0.6342222222222222
12,6.545084971874738e-05,0.4895655773707799,0.8072380952380952,0.9315318631066216,0.6258888888888889
13,6.039558454088797e-05,0.43215733105795723,0.8392142857142857,1.0087479073206584,0.6137777777777778
14,5.522642316338269e-05,0.38110001806985766,0.864547619047619,1.098842779583401,0.61
15,5.000000000000002e-05,0.33292506712958925,0.8899047619047619,1.0904731703864203,0.6131111111111112
16,4.4773576836617344e-05,0.28572436187380834,0.9128095238095238,1.1701804843478734,0.6171111111111112
17,3.9604415459112035e-05,0.24681677886417933,0.9302857142857143,1.0965273693932427,0.6192222222222222
18,3.4549150281252636e-05,0.21341138219833375,0.9445714285714286,1.1674793995751276,0.6136666666666667
19,2.966316784621e-05,0.18344094074340095,0.9583809523809523,1.2720454290178087,0.6161111111111112
20,2.5000000000000015e-05,0.1593381200035413,0.9686666666666667,1.2313185903761121,0.6184444444444445
21,2.0610737385376352e-05,0.1414959716115679,0.9754047619047619,1.2253216605716282,0.6162222222222222
22,1.654346968205711e-05,0.12658846550896055,0.9800714285714286,1.238112761815389,0.621
23,1.2842758726130304e-05,0.1150985585962023,0.9831428571428571,1.2784484036763508,0.6222222222222222
24,9.549150281252636e-06,0.10609214722542536,0.9850238095238095,1.2905031104617648,0.6147777777777778
25,6.698729810778068e-06,0.09972784345490592,0.9871190476190477,1.307273843129476,0.6195555555555555
26,4.322727117869953e-06,0.09466194010348547,0.987904761904762,1.3085351691775853,0.6178888888888889
27,2.447174185242324e-06,0.09010992256800333,0.9887857142857143,1.3480031248728435,0.6166666666666667
28,1.092619963309716e-06,0.0869531565166655,0.9893333333333333,1.3302219371795654,0.617
29,2.7390523158633003e-07,0.08670729302792322,0.9894285714285714,1.3194178528255887,0.6214444444444445
30,0.0,0.08499221518493834,0.9897142857142858,1.335988718456692,0.6176666666666667
