epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.613907202720642,0.499,1.5343039512634278,0.546,0.0009972609476841367
2,1.5133747536341349,0.5495,1.4967662254969278,0.5641666666666667,0.0009890738003669028
3,1.4781328191757201,0.5666666666666667,1.4622860244115194,0.5626666666666666,0.0009755282581475768
4,1.4417051808039347,0.5721666666666667,1.4253048683802287,0.5723333333333334,0.0009567727288213003
5,1.4034974107742308,0.578,1.3874996910095214,0.571,0.0009330127018922195
6,1.3640056486129761,0.5825,1.3481654308636983,0.5873333333333334,0.0009045084971874739
7,1.323616237004598,0.584,1.308310417175293,0.589,0.0008715724127386972
8,1.2843063592910766,0.5913333333333334,1.269980946858724,0.5918333333333333,0.0008345653031794292
9,1.245731790860494,0.5971666666666666,1.233669660727183,0.5985,0.0007938926261462366
10,1.2092935015360515,0.6006666666666667,1.1989308683077495,0.5991666666666666,0.00075
11,1.174880981763204,0.6085,1.1679553891817729,0.6003333333333334,0.0007033683215379003
12,1.1436719818115235,0.6158333333333333,1.139221385796865,0.6053333333333333,0.0006545084971874739
13,1.115867335319519,0.6126666666666667,1.1147716000874837,0.6,0.0006039558454088797
14,1.0902420434951783,0.619,1.0939726840655009,0.5961666666666666,0.0005522642316338269
15,1.0687108629544575,0.6253333333333333,1.0732825876871745,0.6056666666666667,0.0005000000000000002
16,1.0494333596229553,0.6275,1.0572248058319091,0.6073333333333333,0.0004477357683661734
17,1.0327679459253947,0.6353333333333333,1.0422454957167309,0.612,0.00039604415459112036
18,1.0184060788154603,0.6343333333333333,1.0303317953745523,0.6141666666666666,0.0003454915028125264
19,1.0059799758593242,0.6415,1.0199802436828613,0.6166666666666667,0.00029663167846210003
20,0.995911690711975,0.6398333333333334,1.0120700137615204,0.616,0.00025000000000000017
21,0.9874836292266845,0.642,1.0050613836447397,0.6181666666666666,0.00020610737385376354
22,0.9805468974113465,0.6451666666666667,0.9995426353613536,0.6183333333333333,0.00016543469682057108
23,0.9747222989400228,0.6446666666666667,0.9950770665009816,0.6171666666666666,0.00012842758726130303
24,0.9702207088470459,0.6456666666666667,0.9918042580286662,0.6181666666666666,9.549150281252637e-05
25,0.96684281762441,0.6505,0.989282742579778,0.619,6.698729810778068e-05
26,0.9643677015304566,0.6506666666666666,0.9876188646157582,0.6188333333333333,4.322727117869953e-05
27,0.9626699261665345,0.6503333333333333,0.9865633698304495,0.6196666666666667,2.447174185242324e-05
28,0.9615521605809529,0.65,0.985925498644511,0.6193333333333333,1.092619963309716e-05
29,0.9609571386973064,0.6503333333333333,0.985652378320694,0.6195,2.7390523158633003e-06
30,0.9606926015218099,0.6515,0.9855829992294312,0.6195,0.0
