distance, nfa
0, 351.49541053899827
1, 351.49541053899827
2, 351.49541053899827
3, 351.49541053899827
4, 351.49541053899827
5, 351.49541053899827
6, 351.49541053899827
7, 351.49541053899827
8, 351.49541053899827
9, 351.49541053899827
10, 351.49541053899827
11, 351.49541053899827
12, 351.49541053899827
13, 351.49541053899827
14, 351.49541053899827
15, 351.49541053899827
16, 351.49541053899827
17, 351.49541053899827
18, 351.49541053899827
19, 351.49541053899827
20, 351.49541053899827
21, 270.23393688649435
22, 351.49541053899827
23, 270.23393688649435
24, 270.23393688649435
25, 351.49541053899827
26, 169.67286324151962
27, 87.5479864314575
28, 351.49541053899827
29, 351.49541053899827
30, 169.67286324151962
31, 87.5479864314575
32, 270.23393688649435
33, 351.49541053899827
34, 270.23393688649435
35, 87.5479864314575
36, 169.67286324151962
37, 37.75977986535722
38, 270.23393688649435
39, 37.75977986535722
40, 87.5479864314575
41, 37.75977986535722
42, 169.67286324151962
43, 87.5479864314575
44, 37.75977986535722
45, 169.67286324151962
46, 351.49541053899827
47, 270.23393688649435
48, 270.23393688649435
49, 351.49541053899827
50, 270.23393688649435
51, 270.23393688649435
52, 351.49541053899827
53, 270.23393688649435
54, 351.49541053899827
55, 270.23393688649435
56, 270.23393688649435
57, 351.49541053899827
58, 270.23393688649435
59, 270.23393688649435
60, 270.23393688649435
61, 169.67286324151962
62, 169.67286324151962
63, 87.5479864314575
64, 2.5400044484221946e-32
65, 87.5479864314575
66, 270.23393688649435
67, 87.5479864314575
68, 351.49541053899827
69, 351.49541053899827
70, 351.49541053899827
71, 351.49541053899827
72, 270.23393688649435
73, 270.23393688649435
74, 351.49541053899827
75, 270.23393688649435
76, 87.5479864314575
77, 270.23393688649435
78, 351.49541053899827
79, 169.67286324151962
80, 351.49541053899827
81, 37.75977986535722
82, 169.67286324151962
83, 270.23393688649435
84, 270.23393688649435
85, 169.67286324151962
86, 169.67286324151962
87, 351.49541053899827
88, 87.5479864314575
89, 37.75977986535722
90, 37.75977986535722
91, 169.67286324151962
92, 270.23393688649435
93, 169.67286324151962
94, 87.5479864314575
95, 351.49541053899827
96, 169.67286324151962
97, 169.67286324151962
98, 87.5479864314575
99, 37.75977986535722
100, 169.67286324151962
101, 351.49541053899827
102, 87.5479864314575
103, 351.49541053899827
104, 270.23393688649435
105, 351.49541053899827
106, 270.23393688649435
107, 13.861440713629099
108, 270.23393688649435
109, 87.5479864314575
110, 169.67286324151962
111, 169.67286324151962
112, 169.67286324151962
113, 87.5479864314575
114, 169.67286324151962
115, 87.5479864314575
116, 87.5479864314575
117, 169.67286324151962
118, 270.23393688649435
119, 87.5479864314575
120, 169.67286324151962
121, 37.75977986535722
122, 169.67286324151962
123, 351.49541053899827
124, 169.67286324151962
125, 169.67286324151962
126, 37.75977986535722
127, 4.40168146607005
128, 37.75977986535722
129, 87.5479864314575
130, 87.5479864314575
131, 169.67286324151962
132, 87.5479864314575
133, 270.23393688649435
134, 87.5479864314575
135, 351.49541053899827
136, 270.23393688649435
137, 169.67286324151962
138, 270.23393688649435
139, 270.23393688649435
140, 37.75977986535722
141, 270.23393688649435
142, 169.67286324151962
143, 351.49541053899827
144, 169.67286324151962
145, 169.67286324151962
146, 169.67286324151962
147, 169.67286324151962
148, 169.67286324151962
149, 351.49541053899827
150, 169.67286324151962
151, 270.23393688649435
152, 87.5479864314575
153, 169.67286324151962
154, 351.49541053899827
155, 87.5479864314575
156, 87.5479864314575
157, 169.67286324151962
158, 169.67286324151962
159, 169.67286324151962
160, 169.67286324151962
161, 270.23393688649435
162, 87.5479864314575
163, 270.23393688649435
164, 351.49541053899827
165, 13.861440713629099
166, 270.23393688649435
167, 169.67286324151962
168, 351.49541053899827
169, 169.67286324151962
170, 169.67286324151962
171, 270.23393688649435
172, 270.23393688649435
173, 270.23393688649435
174, 270.23393688649435
175, 169.67286324151962
176, 169.67286324151962
177, 169.67286324151962
178, 169.67286324151962
179, 169.67286324151962
180, 87.5479864314575
181, 351.49541053899827
182, 270.23393688649435
183, 169.67286324151962
184, 169.67286324151962
185, 169.67286324151962
186, 37.75977986535722
187, 270.23393688649435
188, 87.5479864314575
189, 351.49541053899827
190, 270.23393688649435
191, 87.5479864314575
192, 0.3029451545886031
193, 169.67286324151962
194, 169.67286324151962
195, 270.23393688649435
196, 87.5479864314575
197, 169.67286324151962
198, 37.75977986535722
199, 270.23393688649435
200, 87.5479864314575
201, 351.49541053899827
202, 87.5479864314575
203, 270.23393688649435
204, 270.23393688649435
205, 37.75977986535722
206, 169.67286324151962
207, 87.5479864314575
208, 351.49541053899827
209, 169.67286324151962
210, 270.23393688649435
211, 87.5479864314575
212, 169.67286324151962
213, 270.23393688649435
214, 270.23393688649435
215, 270.23393688649435
216, 351.49541053899827
217, 169.67286324151962
218, 87.5479864314575
219, 270.23393688649435
220, 270.23393688649435
221, 169.67286324151962
222, 87.5479864314575
223, 270.23393688649435
224, 169.67286324151962
225, 270.23393688649435
226, 169.67286324151962
227, 37.75977986535722
228, 169.67286324151962
229, 351.49541053899827
230, 351.49541053899827
231, 37.75977986535722
232, 37.75977986535722
233, 37.75977986535722
234, 87.5479864314575
235, 169.67286324151962
236, 270.23393688649435
237, 169.67286324151962
238, 169.67286324151962
239, 169.67286324151962
240, 270.23393688649435
241, 270.23393688649435
242, 169.67286324151962
243, 169.67286324151962
244, 13.861440713629099
245, 270.23393688649435
246, 87.5479864314575
247, 169.67286324151962
248, 270.23393688649435
249, 270.23393688649435
250, 270.23393688649435
251, 87.5479864314575
252, 169.67286324151962
253, 169.67286324151962
254, 169.67286324151962
255, 270.23393688649435
256, 37.75977986535722
257, 37.75977986535722
258, 87.5479864314575
259, 270.23393688649435
260, 169.67286324151962
261, 270.23393688649435
262, 87.5479864314575
263, 13.861440713629099
264, 169.67286324151962
265, 87.5479864314575
266, 270.23393688649435
267, 37.75977986535722
268, 169.67286324151962
269, 169.67286324151962
270, 270.23393688649435
271, 351.49541053899827
272, 87.5479864314575
273, 87.5479864314575
274, 351.49541053899827
275, 37.75977986535722
276, 169.67286324151962
277, 37.75977986535722
278, 270.23393688649435
279, 270.23393688649435
280, 270.23393688649435
281, 37.75977986535722
282, 87.5479864314575
283, 87.5479864314575
284, 351.49541053899827
285, 37.75977986535722
286, 270.23393688649435
287, 270.23393688649435
288, 270.23393688649435
289, 169.67286324151962
290, 270.23393688649435
291, 169.67286324151962
292, 169.67286324151962
293, 270.23393688649435
294, 270.23393688649435
295, 169.67286324151962
296, 169.67286324151962
297, 270.23393688649435
298, 87.5479864314575
299, 270.23393688649435
300, 351.49541053899827
301, 169.67286324151962
302, 270.23393688649435
303, 270.23393688649435
304, 351.49541053899827
305, 270.23393688649435
306, 270.23393688649435
307, 270.23393688649435
308, 87.5479864314575
309, 270.23393688649435
310, 270.23393688649435
311, 270.23393688649435
312, 351.49541053899827
313, 351.49541053899827
314, 270.23393688649435
315, 351.49541053899827
316, 351.49541053899827
317, 351.49541053899827
318, 169.67286324151962
319, 13.861440713629099
320, 2.5400044484221946e-32
321, 37.75977986535722
322, 37.75977986535722
323, 270.23393688649435
324, 270.23393688649435
325, 270.23393688649435
326, 270.23393688649435
327, 270.23393688649435
328, 351.49541053899827
329, 169.67286324151962
330, 351.49541053899827
331, 169.67286324151962
332, 169.67286324151962
333, 169.67286324151962
334, 87.5479864314575
335, 270.23393688649435
336, 270.23393688649435
337, 351.49541053899827
338, 351.49541053899827
339, 351.49541053899827
340, 270.23393688649435
341, 270.23393688649435
342, 351.49541053899827
343, 87.5479864314575
344, 169.67286324151962
345, 87.5479864314575
346, 87.5479864314575
347, 87.5479864314575
348, 169.67286324151962
349, 169.67286324151962
350, 169.67286324151962
351, 270.23393688649435
352, 169.67286324151962
353, 169.67286324151962
354, 169.67286324151962
355, 270.23393688649435
356, 351.49541053899827
357, 270.23393688649435
358, 87.5479864314575
359, 169.67286324151962
360, 169.67286324151962
361, 270.23393688649435
362, 351.49541053899827
363, 351.49541053899827
364, 351.49541053899827
365, 351.49541053899827
366, 351.49541053899827
367, 351.49541053899827
368, 351.49541053899827
369, 351.49541053899827
370, 351.49541053899827
371, 351.49541053899827
372, 351.49541053899827
373, 351.49541053899827
374, 351.49541053899827
375, 351.49541053899827
376, 351.49541053899827
377, 351.49541053899827
378, 351.49541053899827
379, 351.49541053899827
380, 351.49541053899827
381, 351.49541053899827
382, 351.49541053899827
383, 351.49541053899827
