method,size,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,original|precision,original|recall,original|f1-score,original|support,JPEG_Q80|precision,JPEG_Q80|recall,JPEG_Q80|f1-score,JPEG_Q80|support,downsample_x8|precision,downsample_x8|recall,downsample_x8|f1-score,downsample_x8|support,downsample_x16|precision,downsample_x16|recall,downsample_x16|f1-score,downsample_x16|support,upsample_x4|precision,upsample_x4|recall,upsample_x4|f1-score,upsample_x4|support,upsample_x8|precision,upsample_x8|recall,upsample_x8|f1-score,upsample_x8|support
Mask,32,0.6051666666666666,0.590421526957367,0.6051666666666667,0.5921946130600739,0.5921946130600739,0.42813455657492355,0.28,0.33857315598548976,1000,0.5245901639344263,0.672,0.5892152564664621,1000,0.37659033078880405,0.296,0.3314669652855543,1000,0.42429426860564584,0.496,0.4573536191793453,1000,0.9048076923076923,0.941,0.9225490196078432,1000,0.8841121495327103,0.946,0.9140096618357487,1000
Mask,64,0.6278333333333334,0.6070521392186573,0.6278333333333334,0.6054224797573413,0.6054224797573414,0.47040971168437024,0.31,0.3737191078963231,1000,0.5590800951625694,0.705,0.6236178681999116,1000,0.32038834951456313,0.165,0.21782178217821785,1000,0.45619946091644203,0.677,0.5450885668276971,1000,0.8986742424242424,0.949,0.9231517509727626,1000,0.937560975609756,0.961,0.9491358024691359,1000
Mask,96,0.6421666666666667,0.6246205120972919,0.6421666666666667,0.6176369226224105,0.6176369226224105,0.4741506646971935,0.321,0.3828264758497317,1000,0.5507982583454282,0.759,0.6383515559293524,1000,0.38620689655172413,0.168,0.23414634146341465,1000,0.4755341144038594,0.69,0.5630354957160342,1000,0.9065776930409915,0.951,0.9282576866764276,1000,0.9544554455445544,0.964,0.9592039800995025,1000
Mask,128,0.6478333333333334,0.6287474566559927,0.6478333333333334,0.6200799686231563,0.6200799686231563,0.49434571890145396,0.306,0.378011117974058,1000,0.5631911532385466,0.713,0.6293027360988526,1000,0.3901869158878505,0.167,0.23389355742296922,1000,0.48582230623818523,0.771,0.5960572091225358,1000,0.8961646398503275,0.958,0.9260512324794588,1000,0.9427740058195926,0.972,0.9571639586410634,1000
CNN,32,0.7028333333333333,,,0.6951580070672895,,0.6312709030100334,0.755,0.6876138433515483,1000,0.6781115879828327,0.79,0.7297921478060047,1000,0.4346076458752515,0.432,0.43329989969909727,1000,0.5059347181008902,0.341,0.4074074074074074,1000,0.9686868686868687,0.959,0.963819095477387,1000,0.9582059123343527,0.94,0.9490156486622918,1000
CNN,64,0.7741666666666667,,,0.745566289985755,,0.7475,0.897,0.8154545454545454,1000,0.8789808917197452,0.828,0.8527291452111225,1000,0.5697674418604651,0.147,0.23370429252782193,1000,0.5313915857605178,0.821,0.6451866404715128,1000,0.9958289885297185,0.955,0.9749872383869321,1000,0.9096715328467153,0.997,0.9513358778625954,1000
CNN,96,0.7808333333333334,,,0.7743238492123613,,0.8711864406779661,0.771,0.8180371352785146,1000,0.7720465890183028,0.928,0.8428701180744778,1000,0.5398457583547558,0.42,0.47244094488188976,1000,0.5707547169811321,0.605,0.587378640776699,1000,0.9188191881918819,0.996,0.9558541266794626,1000,0.9737638748738647,0.965,0.9693621295831241,1000
CNN,128,0.8278333333333333,,,0.8245185005377094,,0.9115384615384615,0.948,0.9294117647058824,1000,0.9654403567447045,0.866,0.9130205587770164,1000,0.6123287671232877,0.447,0.5167630057803468,1000,0.5834645669291338,0.741,0.652863436123348,1000,0.9887410440122825,0.966,0.9772382397572079,1000,0.919889502762431,0.999,0.9578139980824545,1000
