method,size,original,JPEG_Q80,downsample_x8,downsample_x16,upsample_x4,upsample_x8
Mask,32,0.33857315598548976,0.5892152564664621,0.3314669652855543,0.4573536191793453,0.9225490196078432,0.9140096618357487
Mask,64,0.3737191078963231,0.6236178681999116,0.21782178217821785,0.5450885668276971,0.9231517509727626,0.9491358024691359
Mask,96,0.3828264758497317,0.6383515559293524,0.23414634146341465,0.5630354957160342,0.9282576866764276,0.9592039800995025
Mask,128,0.378011117974058,0.6293027360988526,0.23389355742296922,0.5960572091225358,0.9260512324794588,0.9571639586410634
CNN,32,0.6876138433515483,0.7297921478060047,0.43329989969909727,0.4074074074074074,0.963819095477387,0.9490156486622918
CNN,64,0.8154545454545454,0.8527291452111225,0.23370429252782193,0.6451866404715128,0.9749872383869321,0.9513358778625954
CNN,96,0.8180371352785146,0.8428701180744778,0.47244094488188976,0.587378640776699,0.9558541266794626,0.9693621295831241
CNN,128,0.9294117647058824,0.9130205587770164,0.5167630057803468,0.652863436123348,0.9772382397572079,0.9578139980824545
