method,observed_size,accuracy,macro_f1
mask,32,0.6051666666666666,0.5921946130600739
mask,64,0.6278333333333334,0.6054224797573414
mask,96,0.6421666666666667,0.6176369226224104
mask,128,0.6478333333333334,0.6200799686231563
